time,open,high,low,close,volume
20161230 15:30:00,116.65,116.95,116.65,116.95,6150
20161230 15:31:00,116.95,117.2,116.95,117.16,2547
20161230 15:32:00,117.16,117.18,117.02,117.03,1187
20161230 15:33:00,117.05,117.2,117.01,117.17,1686
20161230 15:34:00,117.17,117.2,117.0,117.05,986
20161230 15:35:00,117.05,117.1,117.02,117.06,573
20161230 15:36:00,117.05,117.07,116.92,117.01,769
20161230 15:37:00,117.0,117.05,116.9,116.95,821
20161230 15:38:00,116.94,117.0,116.87,116.89,692
20161230 15:39:00,116.89,117.06,116.89,116.98,1429
20161230 15:40:00,116.98,117.05,116.93,117.04,833
20161230 15:41:00,117.05,117.06,116.87,116.91,1029
20161230 15:42:00,116.9,116.94,116.83,116.89,899
20161230 15:43:00,116.88,116.92,116.81,116.88,462
20161230 15:44:00,116.87,116.97,116.87,116.92,523
20161230 15:45:00,116.92,116.93,116.85,116.88,545
20161230 15:46:00,116.89,116.96,116.86,116.94,402
20161230 15:47:00,116.93,117.03,116.93,117.01,950
20161230 15:48:00,117.02,117.03,116.96,116.97,393
20161230 15:49:00,116.96,116.96,116.88,116.89,422
20161230 15:50:00,116.89,116.9,116.74,116.83,738
20161230 15:51:00,116.81,116.82,116.75,116.8,528
20161230 15:52:00,116.79,116.87,116.76,116.78,654
20161230 15:53:00,116.77,116.79,116.74,116.76,328
20161230 15:54:00,116.76,116.8,116.66,116.72,596
20161230 15:55:00,116.73,116.76,116.7,116.72,401
20161230 15:56:00,116.7,116.7,116.44,116.45,1563
20161230 15:57:00,116.47,116.47,116.09,116.12,1907
20161230 15:58:00,116.13,116.35,116.12,116.34,866
20161230 15:59:00,116.35,116.35,116.2,116.2,642
20161230 16:00:00,116.2,116.29,116.07,116.28,810
20161230 16:01:00,116.28,116.37,116.15,116.25,922
20161230 16:02:00,116.26,116.36,116.25,116.32,642
20161230 16:03:00,116.32,116.4,116.31,116.35,716
20161230 16:04:00,116.36,116.42,116.23,116.28,933
20161230 16:05:00,116.28,116.36,116.28,116.32,332
20161230 16:06:00,116.33,116.38,116.3,116.34,403
20161230 16:07:00,116.34,116.37,116.24,116.31,536
20161230 16:08:00,116.3,116.33,116.15,116.33,820
20161230 16:09:00,116.33,116.37,116.29,116.3,654
20161230 16:10:00,116.3,116.34,116.29,116.31,429
20161230 16:11:00,116.31,116.35,116.27,116.35,230
20161230 16:12:00,116.34,116.35,116.29,116.31,529
20161230 16:13:00,116.32,116.33,116.26,116.29,412
20161230 16:14:00,116.29,116.35,116.26,116.34,481
20161230 16:15:00,116.35,116.37,116.33,116.33,480
20161230 16:16:00,116.33,116.43,116.32,116.43,519
20161230 16:17:00,116.42,116.43,116.36,116.4,416
20161230 16:18:00,116.4,116.42,116.38,116.41,650
20161230 16:19:00,116.42,116.42,116.29,116.32,583
20161230 16:20:00,116.32,116.37,116.28,116.29,442
20161230 16:21:00,116.29,116.33,116.28,116.32,326
20161230 16:22:00,116.32,116.33,116.28,116.28,401
20161230 16:23:00,116.28,116.28,116.12,116.13,880
20161230 16:24:00,116.14,116.23,116.14,116.23,612
20161230 16:25:00,116.23,116.28,116.22,116.27,458
20161230 16:26:00,116.26,116.29,116.25,116.28,202
20161230 16:27:00,116.29,116.3,116.25,116.29,272
20161230 16:28:00,116.28,116.29,116.22,116.23,663
20161230 16:29:00,116.23,116.24,116.18,116.18,262
20161230 16:30:00,116.18,116.26,116.18,116.26,390
20161230 16:31:00,116.27,116.31,116.25,116.29,352
20161230 16:32:00,116.29,116.31,116.26,116.3,311
20161230 16:33:00,116.3,116.33,116.27,116.27,566
20161230 16:34:00,116.28,116.29,116.26,116.29,275
20161230 16:35:00,116.28,116.29,116.26,116.26,261
20161230 16:36:00,116.25,116.26,116.15,116.15,498
20161230 16:37:00,116.15,116.22,116.14,116.2,337
20161230 16:38:00,116.21,116.21,116.17,116.2,470
20161230 16:39:00,116.2,116.21,116.18,116.2,359
20161230 16:40:00,116.2,116.26,116.2,116.25,403
20161230 16:41:00,116.25,116.27,116.21,116.24,396
20161230 16:42:00,116.23,116.24,116.2,116.21,236
20161230 16:43:00,116.21,116.22,116.19,116.19,329
20161230 16:44:00,116.2,116.2,116.16,116.17,259
20161230 16:45:00,116.16,116.17,116.13,116.16,337
20161230 16:46:00,116.15,116.16,116.09,116.1,528
20161230 16:47:00,116.1,116.15,116.08,116.14,688
20161230 16:48:00,116.14,116.15,116.11,116.14,498
20161230 16:49:00,116.14,116.14,116.05,116.08,563
20161230 16:50:00,116.09,116.14,116.08,116.13,413
20161230 16:51:00,116.12,116.13,116.06,116.09,422
20161230 16:52:00,116.09,116.1,116.07,116.09,345
20161230 16:53:00,116.1,116.12,116.06,116.06,552
20161230 16:54:00,116.07,116.09,116.04,116.06,376
20161230 16:55:00,116.06,116.15,116.06,116.14,430
20161230 16:56:00,116.14,116.15,116.13,116.13,379
20161230 16:57:00,116.13,116.16,116.13,116.13,348
20161230 16:58:00,116.13,116.17,116.12,116.16,407
20161230 16:59:00,116.17,116.23,116.16,116.21,443
20161230 17:00:00,116.2,116.22,116.19,116.21,315
20161230 17:01:00,116.21,116.23,116.17,116.18,541
20161230 17:02:00,116.18,116.21,116.18,116.19,207
20161230 17:03:00,116.2,116.23,116.19,116.22,375
20161230 17:04:00,116.22,116.25,116.22,116.24,239
20161230 17:05:00,116.24,116.25,116.23,116.24,209
20161230 17:06:00,116.24,116.25,116.21,116.22,287
20161230 17:07:00,116.22,116.22,116.18,116.2,236
20161230 17:08:00,116.2,116.2,116.19,116.2,191
20161230 17:09:00,116.21,116.23,116.21,116.23,179
20161230 17:10:00,116.23,116.26,116.22,116.23,252
20161230 17:11:00,116.22,116.25,116.22,116.25,212
